amg,1,40.15,1,8016,6059.25769942088,8967.20888382032,65,0.758173447936347
amg,1,39.883612531875,16,4724.16,6195.28328487619,8695.25400083902,70,0.742591360708451
amg,1,40.29169466075,31,4723.93,6156.12744729884,8610.85478983779,70,0.746006154676811
amg,1,38.92535680425,4,4722.97,6340.8445069417,8826.44392803571,70,0.742626080677704
barnes,2,27.152,1,792,1121.34948960654,1157.79830708498,75,0.986042546389418
blackscholes,3,43.044,1,815,932.017441436305,943.164648093969,80,0.984415861664087
bodytrack,4,65.762,1,19,35.1094920822052,32.0715451891097,60,1
bt-mz,6,62.794,1,325,1223.73870386161,1247.81477729251,60,1
bt-mz,6,143.433685482,16,740.529,2670.77979784958,2893.66013680984,65,0.937898537536638
bt-mz,6,76.96183370125,31,407.262,2556.27798688887,2796.70592544911,65,0.943535640355331
bt-mz,6,27.510970081,4,214.934,2362.37335054791,2591.67129476709,60,0.936131720075619
cfd,7,91.032,1,62,4222.11709397344,5089.48869007689,80,0.889584168483628
cg,8,92.722,1,1791,11964.6767381014,18256.8309809056,100,0.793905591076044
ep,9,84.14,1,24,22.8533166345374,22.7453962418055,55,1
facesim,10,68.082,1,319,7148.2559173695,8971.0398513428,90,0.86764521571463
ferret,11,52.732,1,125,1925.52801502303,2019.30453263175,90,0.960589001824342
fft,12,28.04,1,2700,1536.7650124006,2167.49500504496,85,0.899451938170112
fluidanimate,13,58.348,1,687,4536.35296833203,5287.73631285226,80,0.912078843186738
fmm,14,45.296,1,2068,3119.09427090347,3527.48893796233,75,0.928273595284339
freqmine,15,63.072,1,755,1105.74158606334,1127.54459559872,70,0.973082118734447
ft,16,86.808,1,5147,9681.95024075904,13118.78592719,55,0.812762836639776
heat,17,46.136,1,4220,14355.3031559511,23839.6343929637,50,0.726772161317526
hop,18,79.192,1,418,223.039885142222,224.255203014521,75,0.999530731372325
hpccg,19,12.242,1,6383,10802.7334504698,18733.955141093,90,0.670823935252753
hpccg,19,25.954534020375,16,4752.89,14527.5504429068,33030.9537659158,95,0.478724896912225
hpccg,19,26.05563542675,31,4752.04,14501.6376458364,32573.2914091986,95,0.481679921008165
hpccg,19,25.5008297375,4,4752.16,14577.5379284793,33543.9712996582,95,0.495241316000439
hydro,20,55.258,1,409,797.730924680094,823.086363770407,55,0.985610574530793
hydro,20,112.327443630667,16,467.667,770.436397736096,792.322161155971,55,0.980199321436135
hydro,20,65.135501246,28,291.116,750.386524335757,779.158194035408,55,0.955243677105809
hydro,20,40.162675566125,4,138.935,815.879512800695,819.918553838315,55,0.962061490319826
kmeans,21,54.768,1,16,23.3536153214159,24.274869984215,55,1
lavamd,22,23.18,1,161,48.8854818999978,50.6654725001908,60,1
lu-mz,23,131.998,1,614,14736.5873270494,29242.304185548,65,0.631835914127755
lu-mz,23,212.052725033,16,784.107,15799.5881793897,33393.886677819,70,0.566520296386812
lu-mz,23,25.840965367,4,192.116,7141.35035451607,8983.90063076697,65,0.841146787992576
lud,24,34.22,1,848,12459.7244571563,13411.5187706623,50,1
lulesh,25,23.142,1,75,7047.70532011217,8910.36607155072,60,0.890576753859691
mandel,26,67.734,1,51,22.7934889082428,24.1943455719444,55,1
minife,27,53.026,1,5640,13204.2725183442,26739.8219287237,90,0.609948184410355
minife,27,68.962319676875,16,3075.84,9224.41303625516,14966.66521813,90,0.734899225964899
minife,27,99.079062060875,31,5329.55,8800.5453118514,14675.2685399784,90,0.709524608399411
minife,27,56.140079248,4,4958.22,12704.0669118731,25009.6496221604,90,0.565315281897185
ocean,28,17.256,1,3545,15477.3989260574,33962.3865423001,70,0.576115761026421
particlefilter,29,35.246,1,79,57.6241474987693,60.4006156542123,50,1
prk2,30,44.402,1,1109,9111.91182505651,11597.8722792259,60,0.86591433700949
qsort,31,38.414,1,49,102.632119408375,103.790571949358,55,0.997605001559597
raytrace,32,68.492,1,1163,456.957025829871,457.970502867894,85,0.99378805321813
sp-mz,33,75.818,1,388,14754.6009667474,30733.8805538912,65,0.592915242065165
sp-mz,33,92.7729322625714,16,755.008,5908.53360789131,7381.25198729808,60,0.846396955016831
sp-mz,33,50.5574473474286,31,428.893,5294.52660418871,6568.16829471839,60,0.856747478578824
sp-mz,33,19.180246278375,4,224.287,6108.79845217432,7877.29840367162,60,0.831250495747788
sparselu,34,43.634,1,789,647.517684162872,653.544467748563,65,0.993561317093136
ssca,35,27.972,1,63,2933.15351274703,3333.98958219728,70,0.928325492154441
streamcluster,37,59.895,1,186,8829.55579364794,13544.2190665356,100,0.677767354596623
streamcluster,37,145.29267276525,16,233.815,5315.28069705916,6307.20633654097,100,0.817044042459456
streamcluster,37,148.150946991286,31,227.08,5235.05957394987,6072.31586305019,100,0.869575173486474
streamcluster,37,135.05027167875,4,225.933,5602.58201392672,6539.74601846928,100,0.829267388896537
streammpi,36,20.822,1,6169,15596.8751888568,34357.9962374353,70,0.585033463359904
streammpi,36,19.17466257425,16,6176.27,15233.479102616,35080.4583055723,70,0.519463761588418
streammpi,36,19.364815598125,31,6179.47,15171.8164096765,34862.2593414842,70,0.5222760149228
streammpi,36,19.2997098115,4,6175.33,15898.2405501221,35405.0995828823,70,0.515851184321973
svmrfe,38,48.978,1,74,14430.9642741099,28106.1032965748,100,0.641811952265523
swaptions,39,63.05,1,20,23.532440160853,24.1506977955708,55,0.997965503060212
triad,40,26.152,1,1479,15802.825947584,37061.0606285142,75,0.563900260513584
ua,41,135.63,1,494,12747.3642596888,20513.308125492,75,0.734055471899743
waternsquared,42,43.108,1,86,1713.28823936975,1905.74512590353,100,0.999577241500793
waterspatial,43,69.84,1,1365,933.723783395799,958.449970646055,80,0.98511083326517
